"dates","IDXX.Open","IDXX.High","IDXX.Low","IDXX.Close","IDXX.Volume","IDXX.Adjusted"
"2010-01-04",26.85,27.174999,26.715,27.040001,325200,27.040001
"2010-01-05",26.879999,27.084999,26.775,27.084999,223600,27.084999
"2010-01-06",27.014999,27.370001,27.014999,27.15,262400,27.15
"2010-01-07",27.035,28.325001,26.969999,28.18,748200,28.18
"2010-01-08",28.209999,28.450001,27.905001,27.955,642800,27.955
"2010-01-11",28.014999,28.955,28.014999,28.885,697200,28.885
"2010-01-12",28.85,28.885,28.59,28.84,492800,28.84
"2010-01-13",28.82,29.655001,28.82,29.575001,1040000,29.575001
"2010-01-14",29.6,29.975,29.6,29.815001,506000,29.815001
"2010-01-15",29.75,29.815001,29.264999,29.549999,422600,29.549999
"2010-01-19",29.504999,29.875,29.299999,29.674999,582800,29.674999
"2010-01-20",29.559999,29.754999,29.235001,29.535,353400,29.535
"2010-01-21",29.485001,29.545,29.125,29.18,349800,29.18
"2010-01-22",29.23,29.275,28.530001,28.594999,501000,28.594999
"2010-01-25",28.84,28.84,28.23,28.375,584200,28.375
"2010-01-26",28.375,28.549999,28.299999,28.459999,248200,28.459999
"2010-01-27",28.315001,28.530001,28.09,28.35,469400,28.35
"2010-01-28",28.295,29.01,28.02,28.985001,691400,28.985001
"2010-01-29",28.41,29.049999,26.245001,26.245001,3663600,26.245001
"2010-02-01",26.375,26.65,24.514999,24.965,3685000,24.965
"2010-02-02",25.055,25.59,24.76,25.459999,2079600,25.459999
"2010-02-03",25.375,25.48,25.17,25.440001,720800,25.440001
"2010-02-04",25.23,25.555,25.049999,25.245001,1428000,25.245001
"2010-02-05",25.18,25.415001,24.629999,25.025,1161200,25.025
"2010-02-08",24.799999,25.129999,24.625,24.995001,730800,24.995001
"2010-02-09",24.955,25.315001,24.875,25.280001,574600,25.280001
"2010-02-10",25.35,25.5,24.965,25.205,600800,25.205
"2010-02-11",25.275,26.07,25.129999,26,844800,26
"2010-02-12",25.66,26.715,25.66,26.655001,856000,26.655001
"2010-02-16",26.52,26.790001,26.280001,26.790001,766200,26.790001
"2010-02-17",26.77,27.184999,26.58,26.815001,481400,26.815001
"2010-02-18",26.889999,27.094999,26.645,26.945,406000,26.945
"2010-02-19",26.85,27.075001,26.450001,26.475,733000,26.475
"2010-02-22",26.455,26.594999,26.25,26.344999,752800,26.344999
"2010-02-23",26.325001,26.809999,26.200001,26.25,607800,26.25
"2010-02-24",26.375,26.6,26.34,26.525,307200,26.525
"2010-02-25",26.35,26.725,26.035,26.25,613600,26.25
"2010-02-26",26.184999,26.735001,26.17,26.4,556000,26.4
"2010-03-01",26.459999,27.16,26.075001,27.110001,810400,27.110001
"2010-03-02",27.035,27.799999,26.99,27.709999,664200,27.709999
"2010-03-03",27.775,28.1,27.725,27.950001,564000,27.950001
"2010-03-04",28.02,28.275,27.665001,27.719999,385600,27.719999
"2010-03-05",27.725,28.25,27.6,28.225,386800,28.225
"2010-03-08",28.280001,28.35,28.040001,28.285,445200,28.285
"2010-03-09",28.200001,28.35,28,28.075001,428000,28.075001
"2010-03-10",28,28.264999,27.879999,27.975,455000,27.975
"2010-03-11",27.790001,28.01,27.65,27.934999,401200,27.934999
"2010-03-12",27.924999,28.129999,27.504999,28.129999,400800,28.129999
"2010-03-15",27.895,28.32,27.895,28.309999,459200,28.309999
"2010-03-16",28.35,28.629999,28.17,28.254999,970400,28.254999
